Jugador;1930;1934;1938;1950;1954;1958;1962;1966;1970;1974;1978;1982;1986;1990;1994;1998;2002;2006;2010;2014;2018
Miroslav Klose;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;5;5;4;2;null
Ronaldo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;4;8;3;null;null;null
Gerd Müller;null;null;null;null;null;null;null;null;1null;4;null;null;null;null;null;null;null;null;null;null;null
Just Fontaine;null;null;null;null;null;13;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pelé;null;null;null;null;null;6;1;1;4;null;null;null;null;null;null;null;null;null;null;null;null
Jürgen Klinsmann;null;null;null;null;null;null;null;null;null;null;null;null;null;3;5;3;null;null;null;null;null
Sándor Kocsis;null;null;null;null;11;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Thomas Müller;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;5;5;null
Helmut Rahn;null;null;null;null;4;6;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Gabriel Batistuta;null;null;null;null;null;null;null;null;null;null;null;null;null;null;4;5;1;null;null;null;null
Gary Lineker;null;null;null;null;null;null;null;null;null;null;null;null;6;4;null;null;null;null;null;null;null
Teófilo Cubillas;null;null;null;null;null;null;null;null;5;null;5;null;null;null;null;null;null;null;null;null;null
Grzegorz Lato;null;null;null;null;null;null;null;null;null;7;2;1;null;null;null;null;null;null;null;null;null
Karl-Heinz Rummenigge;null;null;null;null;null;null;null;null;null;null;3;5;1;null;null;null;null;null;null;null;null
Uwe Seeler;null;null;null;null;null;2;2;2;3;null;null;null;null;null;null;null;null;null;null;null;null
Jairzinho;null;null;null;null;null;null;null;null;7;2;null;null;null;null;null;null;null;null;null;null;null
Vavá;null;null;null;null;null;5;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null
David Villa;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;5;1;null
Roberto Baggio;null;null;null;null;null;null;null;null;null;null;null;null;null;2;5;2;null;null;null;null;null
Paolo Rossi;null;null;null;null;null;null;null;null;null;null;3;6;null;null;null;null;null;null;null;null;null
Christian Vieri;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;5;4;null;null;null;null
Eusébio;null;null;null;null;null;null;null;9;null;null;null;null;null;null;null;null;null;null;null;null;null
